"name","position_symbol","burst_score","agility_score","40_yard_dash","college_dominator_rating","bmi","draft_pick","draft_year","season"
"DeAndre Washington","RB","117.7","11.23","4.49","234","31","5.04","2016","2022"
"Dee Hart","RB","112.6","11.58","4.8","272","31.2","","2015","2022"
"DeeJay Dallas","RB","116.5","11.5","4.58","265","31.1","4.38","2020","2022"
"Deon Jackson","RB","122.7","11.54","4.47","199","30.4","","2021","2022"
"Derek Watt","RB","115","","4.8","21","30","6.23","2016","2022"
"Derrick Gore","RB","114.8","11.46","4.68","151","30.4","","2019","2022"
"Derrick Henry","RB","127.9","11.58","4.54","435","30.9","2.14","2016","2022"
"Derrius Guice","RB","","","4.49","322","31.2","2.27","2018","2022"
"Desmond Martin","RB","128.7","11.47","4.78","388","30","","2015","2022"
"Detrez Newsome","RB","117.2","11.87","4.56","340","30.7","","2018","2022"
"Devante Mays","RB","133.4","11.96","4.57","163","33","7.2","2017","2022"
"Devin Singletary","RB","118","11.72","4.66","361","31.8","3.1","2019","2022"
"Devine Ozigbo","RB","124.9","11.22","4.7","255","31","","2019","2022"
"Devon Johnson","RB","112.6","11.69","4.66","251","32.3","","2016","2022"
"Devonta Freeman","RB","112.6","11.37","4.58","178","31.3","4.03","2014","2022"
"Devontae Booker","RB","","","4.58","190","30.5","4.38","2016","2022"
"Dexter Williams","RB","126.2","11.16","4.57","215","29.6","6.21","2019","2022"
"Dominique Brown","RB","109.8","11.47","4.69","131","30","","2015","2022"
"Don Jackson","RB","124.5","11.43","4.55","235","28.6","","2016","2022"
"Dontrell Hilliard","RB","121.2","11.25","4.47","291","28.2","","2018","2022"
"Dreamius Smith","RB","121.5","10.95","4.52","21","31.1","","2015","2022"
"Duke Johnson","RB","117.5","11.04","4.54","330","30.6","3.13","2015","2022"
"Dwayne Washington","RB","127.3","11.07","4.53","201","30.2","7.15","2016","2022"
"Elijah Holyfield","RB","109.2","","4.78","136","31.1","","2019","2022"
