"name","position_symbol","burst_score","agility_score","40_yard_dash","college_dominator_rating","bmi","draft_pick","draft_year","catch_radius","vertical_jump","height_in","weight_lb","college_level_of_competition","season"
"Diontae Johnson","WR","118.5","11.54","4.53","340","26.3","3.02","2019","9.7","33.5","70","183","36.3","2022"
"Diontae Spencer","WR","129.5","11.52","4.39","288","26.3","","2014","9.91","40","68","173","","2022"
"Donovan Peoples-Jones","WR","145.2","","4.48","251","27.2","6.08","2020","","44.5","74","212","58.3","2022"
"Drake London","WR","","","4.58","349","25.9","1.08","2022","","","76","213","47.1","2022"
"Dyami Brown","WR","124.4","11.2","4.5","312","24.4","3.18","2021","10.06","35.5","73","185","67.6","2022"
"Eli Rogers","WR","117.2","10.81","4.62","152","25.8","","2015","9.91","34.5","70","180","","2022"
"Elijah Moore","WR","121.7","10.67","4.4","419","26.3","2.02","2021","10.07","36","69","178","81.4","2022"
"Emmanuel Sanders","WR","130.2","10.74","4.41","342","25.1","3.18","2010","10.29","39.5","71","180","-23.4","2022"
"Equanimeous St. Brown","WR","","","4.48","252","25.4","6.33","2018","","34.5","77","214","57.7","2022"
"Erik Ezukanma","WR","125.1","11.58","4.6","281","26.4","4.2","2022","10.03","36.5","74","206","44","2022"
"Frank Darby","WR","117.2","11.38","4.66","220","26.3","6.03","2021","9.86","34.5","72","194","12.4","2022"
"Freddie Swain","WR","124.1","11.31","4.46","187","26","6.35","2020","10.02","36.5","73","197","","2022"
"Gabriel Davis","WR","121.5","11.67","4.54","344","27.7","4.22","2020","9.9","35","74","216","99.9","2022"
"Garrett Wilson","WR","122.7","","4.38","294","25","1.1","2022","","36","72","184","99.9","2022"
"Gehrig Dieter","WR","114.8","11.53","4.61","159","26.7","","2017","9.83","32.5","74","208","","2022"
"George Pickens","WR","121.2","","4.47","189","25","2.2","2022","","34.5","75","200","65.6","2022"
"Geronimo Allison","WR","119.6","11.68","4.67","245","24.5","","2016","9.88","33","75","196","","2022"
"Golden Tate","WR","119.5","11.46","4.42","443","29","2.28","2010","9.83","35","70","202","22.8","2022"
"Greg Dortch","WR","110.6","10.97","4.59","394","27.1","","2019","9.71","33","67","173","49.6","2022"
"Greg Ward","WR","116.2","11.21","4.64","0","25.9","","2017","9.85","34.5","71","186","-40.7","2022"
"Gunner Olszewski","WR","120.2","11.25","4.61","0","25.5","","2019","9.79","36","70","178","","2022"
"Hunter Renfrow","WR","117.5","10.99","4.59","237","26.4","5.11","2019","9.85","35","70","184","80.6","2022"
"Ihmir Smith-Marsette","WR","124.9","11.29","4.55","328","23.9","5.13","2021","10.02","37","73","181","22.1","2022"
"Isaiah Coulter","WR","121.7","11.9","4.45","313","25.4","5.26","2020","9.89","36","74","198","-99.9","2022"
"Isaiah Ford","WR","123.9","11.28","4.61","355","25.6","7.19","2017","10","35.5","73","194","35","2022"
"Isaiah Hodgins","WR","124.1","11.13","4.61","408","25.6","6.28","2020","10.23","36.5","76","210","25.1","2022"
"Isaiah McKenzie","WR","122.7","10.79","4.42","345","27.1","5.29","2017","9.9","36","67","173","61.4","2022"
"Isaiah Zuber","WR","","","4.55","259","25.9","","2020","","","71","186","-2.3","2022"
"Ishmael Hyman","WR","109","11.51","4.5","145","26.6","","2018","9.71","30","72","196","","2022"
"Ja'Marcus Bradley","WR","","","4.53","347","26.9","","2020","","","72","198","","2022"
"Ja'Marr Chase","WR","135.7","10.95","4.39","334","27.3","1.05","2021","10.31","41","72","201","92.9","2022"
"Jacob Harris","WR","137.4","10.82","4.48","200","26","4.36","2021","10.57","40.5","77","219","-21.4","2022"
"Jaelon Darden","WR","121.4","10.77","4.51","450","26.5","4.24","2021","9.95","35.5","68","174","2.7","2022"
"Jahan Dotson","WR","121.7","","4.43","443","25.2","1.16","2022","","36","71","181","40.8","2022"
"Jake Kumerow","WR","109.2","11.16","4.58","407","24.7","","2015","10.01","31","77","208","","2022"
"Jakeem Grant","WR","120.6","11.06","4.42","254","26.6","6.11","2016","9.86","36.5","66","165","35.7","2022"
"Jakobi Meyers","WR","121.9","11.3","4.63","248","26.1","","2019","10.07","37","74","203","-9.7","2022"
"Jalen Camp","WR","129.7","11.14","4.53","217","29","6.24","2021","10.32","39.5","74","226","25.4","2022"
"Jalen Guyton","WR","126.3","10.99","4.44","222","28","","2019","10.22","37.5","73","212","","2022"
"Jalen Nailor","WR","128.6","11.31","4.5","324","25.9","6.12","2022","9.98","38","71","186","-3.6","2022"
"Jalen Reagor","WR","140.4","11.77","4.47","367","28.7","1.21","2020","10.04","42","71","206","0.5","2022"
"Jalen Tolbert","WR","122.7","11.32","4.49","512","25.6","3.24","2022","10.05","36","73","194","-76","2022"
"Jalen Virgil","WR","127.1","11.5","4.45","110","28.1","","2022","9.96","36.5","72","207","","2022"
"Jamal Agnew","WR","123.7","11.19","4.39","0","27.5","5.21","2017","9.88","36","69","186","","2022"
"James Proche","WR","","11.67","4.55","384","28","6.22","2020","9.71","34.5","71","201","75.9","2022"
"James Washington","WR","118.7","11.43","4.54","333","29.7","2.28","2018","9.88","34.5","71","213","65.4","2022"
"Jameson Williams","WR","","","4.3","311","23.7","1.12","2022","","","73","180","99.9","2022"
"Jamison Crowder","WR","120.4","11.49","4.56","333","28.1","4.06","2015","9.76","37","68","185","28.2","2022"
"Jared Bernhardt","WR","113.4","11.11","4.76","0","25.7","","2022","9.83","32","73","195","","2022"
"Jarvis Landry","WR","103.5","12.15","4.65","400","28.6","2.31","2014","9.38","28.5","71","205","84","2022"
"Jason Moore","WR","124.9","10.69","4.62","479","26.9","","2019","10.3","37","75","215","","2022"
"Jauan Jennings","WR","108.8","","4.72","379","26.9","7.03","2020","","29","75","215","-13.8","2022"
"Javon Wims","WR","113.5","","4.53","282","26.9","7.06","2018","","33.5","75","215","61.4","2022"
"Jaydon Mickens","WR","120.9","10.55","4.59","193","25","","2016","10.01","35.5","70","174","","2022"
"Jaylen Waddle","WR","","","4.37","197","26.6","1.06","2021","","","69","180","99.9","2022"
"Jeff Smith","WR","125.6","10.93","4.41","204","25.9","","2019","10.16","36.5","72","191","","2022"
"Jerry Jeudy","WR","119.5","","4.45","251","25.5","1.15","2020","","35","73","193","99.9","2022"
"Joe Reed","WR","126.1","","4.47","261","29.6","5.05","2020","","38","73","224","19.3","2022"
"John Brown","WR","121.6","11.03","4.34","424","25.7","3.27","2014","10.05","36.5","70","179","-95","2022"
"John Hightower","WR","126.5","11.28","4.43","258","24.3","5.23","2020","10.19","38.5","74","189","52.4","2022"
"John Ross","WR","129.4","","4.22","341","26.2","1.09","2017","","37","71","188","20.2","2022"
"Jordan Veasy","WR","120.2","11.54","4.58","237","27.6","","2018","9.93","34.5","75","221","","2022"
"Josh Gordon","WR","121.7","","4.57","250","28.1","","2012","","36","75","225","","2022"
"Josh Malone","WR","112.4","11.24","4.4","353","26","4.22","2017","9.96","30.5","75","208","-17.1","2022"
"Josh Palmer","WR","119.8","11.22","4.57","259","27.7","3.13","2021","10","34","73","210","13.7","2022"
"Josh Reynolds","WR","124.9","10.96","4.52","397","24.2","4.1","2017","10.23","37","75","194","69.2","2022"
"JuJu Smith-Schuster","WR","115.3","11.07","4.54","319","28.4","2.3","2017","10","32.5","73","215","54.8","2022"
"JuWann Winfree","WR","118.6","11.22","4.58","145","27.7","6.14","2019","9.91","33","73","210","","2022"
"Julio Jones","WR","133","10.91","4.39","344","27.5","1.06","2011","10.41","38.5","75","220","76.6","2022"
"Justin Jefferson","WR","126.8","","4.43","300","26.6","1.22","2020","","37.5","73","202","99.9","2022"
"Justin Watson","WR","130","11.34","4.49","603","27.6","5.07","2018","10.28","40","74","215","","2022"
"K.J. Hamler","WR","","","4.32","317","24.8","2.14","2020","","33.5","71","178","46.3","2022"
"K.J. Hill","WR","112.3","","4.6","190","26.6","7.06","2020","","32.5","72","196","99.9","2022"
"K.J. Osborn","WR","125.3","11.35","4.48","232","27.5","5.31","2020","10.02","37.5","72","203","-11.3","2022"
"Kadarius Toney","WR","135.2","11.11","4.43","237","26.9","1.2","2021","10.15","39.5","71","193","78","2022"
"Kalif Raymond","WR","","","4.39","305","23.9","","2016","","","69","162","","2022"
"Kavontae Turpin","WR","132.5","10.9","4.36","236","24.7","","2019","10.04","40","67","158","","2022"
"Kawaan Baker","WR","131.7","11.83","4.5","378","28.5","7.27","2021","10","39.5","72","210","-76","2022"
"Kaylon Geiger","WR","116.8","10.99","4.61","162","25.4","","2022","9.77","34","69","172","44","2022"
"KeeSean Johnson","WR","109.5","11.51","4.6","357","26.5","6.01","2019","9.75","30","73","201","-0.3","2022"
"Keelan Cole","WR","","11.09","4.64","607","25.6","","2017","","","73","194","99.9","2022"
"Keelan Doss","WR","123.2","","4.61","359","27.1","","2019","","36","74","211","","2022"
"Keenan Allen","WR","","","4.76","495","26.4","3.14","2013","","","74","206","41.4","2022"
"Keith Kirkwood","WR","121","11.37","4.5","269","28.4","","2018","10.06","35","74","221","","2022"
"Keke Coutee","WR","115.2","11.08","4.43","308","26","4.03","2018","9.91","34.5","70","181","35.7","2022"
"Kelvin Harmon","WR","113.8","11.47","4.6","312","28.4","6.33","2019","9.88","32.5","74","221","-9.7","2022"
"Kendall Hinton","WR","","","4.64","0","26.4","","2020","","","72","195","","2022"
"Kendrick Bourne","WR","120.3","10.94","4.68","206","26.8","","2017","10.02","34","73","203","-99.9","2022"
"Kenny Golladay","WR","120.4","11.15","4.5","418","26.5","3.32","2017","10.19","35.5","76","218","-64.5","2022"
"Kenny Stills","WR","119","11.26","4.38","293","26.3","5.11","2013","9.94","33.5","72","194","87.8","2022"
"Kevin White","WR","123.6","11.06","4.35","368","26.9","1.07","2015","10.29","36.5","75","215","99.9","2022"
"Khadarel Hodge","WR","126.6","","4.63","369","25.4","","2018","","38","74","198","","2022"
"Khalil Shakir","WR","127.5","11.49","4.43","408","26.6","5.05","2022","9.98","38.5","72","196","43.6","2022"
"Kirk Merritt","WR","144.9","11.17","4.38","283","28.2","","2020","10.47","45.5","72","208","","2022"
"Kristian Wilkerson","WR","131.2","10.77","4.55","534","28.2","","2020","10.3","39.5","73","214","","2022"
"Kyle Philips","WR","119","10.84","4.58","386","25.2","5.2","2022","9.91","33.5","71","181","52.5","2022"
"Lance Lenoir","WR","109.6","11.26","4.7","362","27","","2017","9.82","33","72","199","","2022"
"Lance McCutcheon","WR","124.1","11.07","4.62","400","26.6","","2022","10.12","36.5","74","207","","2022"
"Laquon Treadwell","WR","114.6","11.3","4.69","290","28.4","1.23","2016","9.95","33","74","221","40.8","2022"
"Laviska Shenault","WR","","","4.58","351","29.9","2.1","2020","","","73","227","-4.3","2022"
"Lil'Jordan Humphrey","WR","116.5","11.38","4.75","323","25.6","","2019","9.97","33.5","76","210","97.6","2022"
"Lynn Bowden","WR","","","4.5","263","28.4","3.16","2020","","","71","204","-7.8","2022"
"Mack Hollins","WR","","","4.53","224","26.9","4.12","2017","","","76","221","42.9","2022"
"Malik Taylor","WR","124.2","10.85","4.51","187","27.8","","2019","10.18","36","73","211","","2022"
