"name","position_symbol","burst_score","agility_score","40_yard_dash","college_dominator_rating","bmi","draft_pick","draft_year","catch_radius","vertical_jump","height_in","weight_lb","college_level_of_competition","season"
"Travis Fulgham","WR","125.1","11.06","4.58","360","27.6","6.11","2019","10.2","36.5","74","215","-48.2","2022"
"Tre'Quan Smith","WR","128.8","11.47","4.49","330","27","3.27","2018","10.11","37.5","74","210","86.4","2022"
"Trent Sherfield","WR","117.8","11.1","4.5","257","27.5","","2018","9.94","32.5","72","203","","2022"
"Trent Taylor","WR","114.6","10.75","4.63","317","27.5","5.34","2017","9.78","33","68","181","-28.8","2022"
"Trenton Irwin","WR","","","4.59","142","26.9","","2019","","","73","204","","2022"
"Trey Quinn","WR","115","11.1","4.55","347","28.3","7.38","2018","9.88","33.5","71","203","85.7","2022"
"Treylon Burks","WR","121.4","11.68","4.55","459","28.8","1.18","2022","9.99","35.5","74","224","4.9","2022"
"Trinity Benson","WR","130.9","11.12","4.49","392","25.4","","2019","10.19","40.5","71","182","","2022"
"Tutu Atwell","WR","114.6","10.96","4.44","367","22.9","2.25","2021","9.83","33","69","155","23.5","2022"
"Tylan Wallace","WR","112.1","11.37","4.55","423","27.1","4.26","2021","9.75","33","71","194","60.7","2022"
"Tyler Boyd","WR","117.3","11.25","4.58","427","26","2.24","2016","9.94","34","73","197","-16.2","2022"
"Tyler Johnson","WR","","","4.7","572","26.4","5.16","2020","","","74","206","39.2","2022"
"Tyler Lockett","WR","120.9","10.96","4.4","442","26.1","3.05","2015","10","35.5","70","182","-6.1","2022"
"Tyquan Thornton","WR","131","11.64","4.28","375","23.5","2.18","2022","10.2","38.5","74","183","24","2022"
"Tyreek Hill","WR","133.4","10.59","4.34","194","26.5","5.28","2016","10.31","40.5","70","185","12.8","2022"
"Tyrie Cleveland","WR","130.2","","4.46","158","26.8","7.38","2020","","39.5","74","209","87.9","2022"
"Tyron Johnson","WR","109","11.47","4.41","236","25.5","","2019","9.76","30","73","193","65.4","2022"
"Van Jefferson","WR","","","4.39","210","25.7","2.25","2020","","","74","200","87.9","2022"
"Velus Jones","WR","116.6","11.83","4.31","227","27.7","3.07","2022","9.76","33","72","204","13.7","2022"
"Victor Bolden","WR","112.9","11.05","4.54","239","27.1","","2017","9.75","32","68","178","","2022"
"Vyncint Smith","WR","132.2","11.16","4.43","324","25.3","","2018","10.25","39.5","74","197","-99.9","2022"
"Wan'Dale Robinson","WR","118.5","11.12","4.44","373","27.2","2.11","2022","9.77","35","68","179","5.2","2022"
"Will Fuller","WR","120","11.2","4.32","467","25.2","1.21","2016","9.96","33.5","72","186","57.7","2022"
"Willie Snead","WR","113.5","11.58","4.62","394","27.2","","2014","9.79","33.5","71","195","","2022"
"Zach Pascal","WR","124.2","11.4","4.55","343","28.1","","2017","10.03","36","74","219","-67","2022"
"Zay Jones","WR","128.6","10.8","4.45","371","25.8","2.05","2017","10.29","36.5","74","201","-44.8","2022"
