"name","position_symbol","burst_score","agility_score","40_yard_dash","college_dominator_rating","bmi","draft_pick","draft_year","catch_radius","vertical_jump","height_in","weight_lb","college_level_of_competition","season"
"David Grinnage","TE","104.6","12.3","4.9","150","29.4","","2016","9.65","29.5","77","248","","2022"
"David Morgan","TE","110","11.12","5.02","269","31.9","6.13","2016","9.92","30","76","262","","2022"
"David Njoku","TE","132.1","11.31","4.64","246","29.9","1.29","2017","10.31","37.5","76","246","","2022"
"David Wells","TE","115.8","12.09","4.75","147","29.5","","2018","9.86","33","78","255","","2022"
"Dawson Knox","TE","121.4","11.39","4.64","42","30.9","3.32","2019","10.13","34.5","76","254","","2022"
"Demetrius Harris","TE","124.9","","4.57","0","26.5","","2013","","36.5","79","235","","2022"
"Deon Yelder","TE","117.8","11.96","4.83","226","31.9","","2018","9.77","33","75","255","","2022"
"Derek Carrier","TE","127.5","10.73","4.55","664","30.1","","2012","10.39","38","75","241","","2022"
"Devin Asiasi","TE","110.9","","4.73","195","32.1","3.27","2020","","30.5","75","257","","2022"
"Devin Mahina","TE","110.1","11.57","4.87","81","30.4","","2015","9.85","29.5","77","256","","2022"
"Devon Cajuste","TE","124.5","10.69","4.62","205","28.5","","2016","10.35","36","76","234","","2022"
"Dominique Dafney","TE","117.3","11.1","4.66","99","31.2","","2020","10.12","35","74","243","","2022"
"Donald Parham","TE","129.9","12.04","4.73","489","26.4","","2019","10.27","38.5","80","240","","2022"
"Drew Sample","TE","116.1","11.46","4.71","105","30.2","2.2","2019","10.08","33.5","77","255","","2022"
"Durham Smythe","TE","109.3","11.4","4.81","88","30","4.23","2018","9.96","31","77","253","","2022"
"E.J. Bibbs","TE","110.1","11.74","4.93","255","29.8","","2015","9.86","31.5","78","258","","2022"
"Emanuel Byrd","TE","116.8","11.88","4.71","104","30.7","","2017","9.84","33.6","74","239","","2022"
"Eric Frohnapfel","TE","110.4","11.85","4.85","115","27.7","","2015","9.88","30.5","78","240","","2022"
"Eric Saubert","TE","118.3","11.93","4.74","316","30","5.31","2017","9.91","33","77","253","","2022"
"Eric Tomlinson","TE","108.4","12","4.98","96","30.4","","2015","9.74","30.5","78","263","","2022"
